iso_code,continent,location,last_updated_date,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,brand
AFG,Asia,Afghanistan,3/22/21,54000,54000,,,2862,0.14,0.14,,74
ALB,Europe,Albania,3/22/21,48229,,,,2679,1.68,,,931
AND,Europe,Andorra,3/22/21,4914,3650,1264,,264,6.36,4.72,1.64,3417
AGO,Africa,Angola,3/22/21,49000,49000,,,4283,0.15,0.15,,130
AIA,North America,Anguilla,3/19/21,5348,5348,,,60,35.65,35.65,,3999
ARG,South America,Argentina,3/22/21,3142444,2535054,607390,22616,105464,6.95,5.61,1.34,2333
AUS,Oceania,Australia,3/22/21,282184,159294,,25165,16772,1.11,0.62,,658
AUT,Europe,Austria,3/22/21,1301065,976948,324117,14470,31102,14.45,10.85,3.6,3453
AZE,Asia,Azerbaijan,3/22/21,482664,482664,,3270,4621,4.76,4.76,,456
BHS,North America,Bahamas,3/22/21,110,110,,,,0.03,0.03,,
BHR,Asia,Bahrain,3/22/21,667155,428240,238915,13919,14337,39.21,25.17,14.04,8426
BGD,Asia,Bangladesh,3/22/21,4911902,4911902,,,60380,2.98,2.98,,367
BRB,North America,Barbados,3/22/21,61752,61752,,644,1352,21.49,21.49,,4705
BLR,Europe,Belarus,3/22/21,30000,20000,10000,,412,0.32,0.21,0.11,44
BEL,Europe,Belgium,3/22/21,1420931,977985,442946,108,31884,12.26,8.44,3.82,2751
BLZ,North America,Belize,3/22/21,15006,15006,,1856,1080,3.77,3.77,,2716
BMU,North America,Bermuda,3/15/21,30481,18807,11674,,548,48.95,30.2,18.75,8800
BOL,South America,Bolivia,3/22/21,168477,148975,19502,1317,4323,1.44,1.28,0.17,370
BRA,South America,Brazil,3/22/21,14116560,10609471,3507089,554384,317286,6.64,4.99,1.65,1493
BGR,Europe,Bulgaria,3/22/21,376370,302517,73853,7465,4952,5.42,4.35,1.06,713
KHM,Asia,Cambodia,3/22/21,170659,170659,,0,13242,1.02,1.02,,792
CAN,North America,Canada,3/22/21,4097934,3464475,633459,143649,135233,10.86,9.18,1.68,3583
CYM,North America,Cayman Islands,3/22/21,41155,27611,13544,841,882,62.62,42.01,20.61,13421
CHL,South America,Chile,3/22/21,8725757,5739672,2986085,249663,240916,45.65,30.03,15.62,12603
CHN,Asia,China,3/22/21,74956000,,,,1552286,5.21,,,1078
COL,South America,Colombia,3/22/21,1215008,1157159,57849,32910,53115,2.39,2.27,0.11,1044
CRI,North America,Costa Rica,3/22/21,312425,206198,106227,,9192,6.13,4.05,2.09,1804
CIV,Africa,Cote d'Ivoire,3/22/21,24728,24728,,89,1364,0.09,0.09,,52
HRV,Europe,Croatia,3/22/21,365082,280622,76460,,9161,8.89,6.84,1.86,2232
CYP,Europe,Cyprus,3/22/21,129438,93475,35963,,2320,14.78,10.67,4.11,2649
CZE,Europe,Czechia,3/22/21,1378657,1007422,371235,33331,35497,12.87,9.41,3.47,3315
DNK,Europe,Denmark,3/22/21,952732,636664,316068,9404,15330,16.45,10.99,5.46,2647
DMA,North America,Dominica,3/22/21,13565,13565,,,636,18.84,18.84,,8834
